lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB
38.75,-123.5,7.96605,0.6724,0.191888,0.0443,1,Ps,13.3363,4.21673,0.020917,0.00116804,16.3036,Sp
39,-123.5,8.09286,0.6724,0.178313,0.0443,1,Ps,13.6646,4.16555,0.0236725,0.00266697,18.8998,Sp
39.25,-123.5,8.25072,0.6724,0.143998,0.0443,1,Ps,13.9924,3.96241,0.0281375,0.00252659,21.4801,Sp
39.5,-123.5,8.51359,0.6724,0.101522,0.0443,1,Ps,13.9569,3.9164,0.0285684,0.00336225,14.3599,Sp
39.75,-123.5,8.47172,0.6724,0.101241,0.0443,1,Ps,13.3431,4.47697,0.0253266,0.00236097,20.695,Sp
40,-123.5,8.25468,0.6724,0.0909872,0.0443,1,Ps,12.5297,4.66477,0.0265303,0.0036345,18.9899,Sp
40.25,-123.5,8.08808,0.6724,0.0985498,0.0443,1,Ps,12.518,4.56159,0.0289133,0.00441374,10.4503,Sp
40.5,-123.5,7.96451,0.6724,0.106408,0.0443,1,Ps,12.4381,4.61889,0.0302531,0.0053711,28.1498,Sp
40.75,-123.5,8.22558,0.6724,0.131285,0.0443,1,Ps,12.3132,4.75841,0.0361163,0.00461091,25.1097,Sp
41,-123.5,10.1224,0.6724,0.00214529,0.0443,1,Ps,11.8117,4.79881,0.0347262,0.00323922,33.9899,Sp
41.25,-123.5,10.7285,0.6724,0.0030092,0.0443,1,Ps,12.0883,4.77391,0.0290381,0.00216868,42.87,Sp
41.5,-123.5,11.3147,0.6724,0.00360346,0.0443,1,Ps,12.5974,4.53571,0.0313451,0.00348317,31.2902,Sp
41.75,-123.5,11.3923,0.6724,0.00249958,0.0443,1,Ps,12.3021,4.6154,0.0362997,0.00096148,32.87,Sp
42,-123.5,9.309,0.6724,0.110299,0.0443,1,Ps,12.1646,4.62887,0.0370836,0.00158708,33.8998,Sp
42.25,-123.5,9.46264,0.6724,0.106759,0.0443,1,Ps,11.9991,4.7862,0.0412163,0.00438773,23.6198,Sp
42.5,-123.5,9.29702,0.6724,0.0812566,0.0443,1,Ps,11.6024,4.90994,0.04901,0.00572144,6.57016,Sp
42.75,-123.5,9.35863,0.6724,0.06125,0.0443,1,Ps,11.6488,4.89724,0.0469711,0.00717692,13.7902,Sp
43,-123.5,9.14044,0.6724,0.052909,0.0443,1,Ps,11.5428,4.98973,0.0408311,0.0064712,29.5399,Sp
43.25,-123.5,9.07778,0.6724,0.0505615,0.0443,1,Ps,11.6437,5.08949,0.0291489,0.00677155,28.4199,Sp
43.5,-123.5,8.95962,0.6724,0.0471662,0.0443,1,Ps,12.5873,4.52471,0.022532,0.00157937,27.6899,Sp
43.75,-123.5,8.80513,0.6724,0.0454621,0.0443,1,Ps,12.5153,4.45654,0.0265205,0.00345372,25,Sp
44,-123.5,8.54346,0.6724,0.0395445,0.0443,1,Ps,12.5718,4.39023,0.0278392,0.00372147,10.6401,Sp
44.25,-123.5,8.50541,0.6724,0.0370743,0.0443,1,Ps,12.2703,4.57823,0.0246829,0.00342244,20.3897,Sp
44.5,-123.5,8.74499,0.6724,0.0355855,0.0443,1,Ps,11.7218,4.7288,0.0232856,0.00199504,10.5501,Sp
44.75,-123.5,9.12494,0.6724,0.0370057,0.0443,1,Ps,11.5775,4.7445,0.0224824,0.00120598,15,Sp
45.5,-123.5,10.0847,0.6724,0.057618,0.0443,1,Ps,12.0317,4.48057,0.0261932,0.00331153,23.3633,Sp
45.75,-123.5,10.0969,0.6724,0.0621409,0.0443,1,Ps,12.0141,4.50347,0.0284154,0.00348279,11.1099,Sp
46,-123.5,10.1223,0.6724,0.0734798,0.0443,1,Ps,12.0738,4.55008,0.0254055,0.00317912,23.8098,Sp
46.25,-123.5,10.3305,0.6724,0.0912342,0.0443,1,Ps,12.1663,4.56082,0.0231846,0.00250644,12.13,Sp
46.5,-123.5,10.6523,0.6724,0.0974483,0.0443,1,Ps,12.1374,4.56095,0.0222797,0.00148395,19.5852,Sp
46.75,-123.5,10.6421,0.6724,0.0947324,0.0443,1,Ps,11.6603,4.78666,0.0231776,0.00112532,25.8349,Sp
47,-123.5,10.7401,0.6724,0.0847807,0.0443,1,Ps,11.6463,4.84763,0.0249862,0.00376521,9.43998,Sp
