lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed
42.25,-119,10.3441,0.43918,0.147517,0.0537892,1,Ps,10.9153,0.161031,0.0378044,0.0056276,12.6899748226139,Sp,0.168480434219363,0.112078501358378,0.338830864450361,0.239518088806134,0.001,Ps
42.5,-119,10.1326,0.312502,0.145096,0.0627665,1,Ps,10.6576,0.192766,0.0455713,0.00300038,14.6200297494175,Sp,0.164506540736657,0.114179969099202,0.273700664668087,0.225648676915638,0.001,Ps
42.75,-119,10.1693,0.381929,0.148884,0.0629482,1,Ps,10.3978,0.191648,0.0425048,0.00215447,34.5399404898146,Sp,0.147253582733956,0.117765778891877,0.234615568987532,0.222986537038959,0.001,Ps
43,-119,10.011,0.379963,0.162297,0.0868368,1,Ps,9.8727,0.286783,0.0439657,0.00299377,30.3700347152207,Sp,0.242186725905259,0.113438396616752,0.354750029270577,0.254076425228012,0.001,Ps
43.25,-119,10.2749,0.318745,0.18343,0.092148,1,Ps,9.54997,0.0953898,0.0475075,0.00321132,32.8700312809949,Sp,0.416817177388943,0.116447606883717,0.527453444652458,0.25599802287858,0.001,Ps
43.5,-119,10.2593,0.50074,0.177811,0.0878894,1,Ps,9.53236,0.095149,0.041687,0.00562162,25.6500446354767,Sp,0.433100852378658,0.116793506172429,0.543187258525113,0.268448840119838,0.001,Ps
43.75,-119,9.95861,0.496942,0.129713,0.0692439,1,Ps,9.64054,0.15758,0.0337692,0.00617407,23.6902037079423,Sp,0.307525195395468,0.111806205434345,0.450413142612152,0.310383585152819,0.001,Ps
44,-119,9.87906,0.557008,0.100165,0.0567426,1,Ps,10.0469,0.471487,0.0299283,0.00532548,29.4499156948499,Sp,0.242345734127829,0.108734766218474,0.380964723088743,0.313628464526632,0.001,Ps
44.25,-119,9.8415,0.751817,0.101682,0.0527773,1,Ps,10.7171,0.439054,0.0226822,0.00386299,25.4600595101854,Sp,0.207083784768744,0.107271596195878,0.335910033554956,0.293807172161407,0.001,Ps
44.5,-119,9.7832,0.749029,0.111631,0.0413239,1,Ps,10.7443,0.250752,0.0237377,0.00593445,38.3398115491878,Sp,0.164246557971289,0.109046778139253,0.299956735361774,0.277157259003186,0.001,Ps
44.75,-119,10.0019,0.68314,0.0910316,0.0418498,1,Ps,10.7569,0.0937533,0.0372347,0.00416303,33.0500877393759,Sp,0.194682136130892,0.106573554151665,0.338758428272495,0.28871737811398,0.001,Ps
45,-119,10.2034,0.608748,0.0631427,0.0375625,1,Ps,10.8667,0.0932908,0.0398469,0.0022518,34.4399801594881,Sp,0.184467751926281,0.109220983324402,0.36512763135337,0.297303741542449,0.001,Ps
33.25,-118.75,6.39367,0.30071,0.0917526,0.0514634,1,Ps,13.3136,0.189868,0.0237209,0.00166433,10.7396810864424,Sp,0.477633801704506,0.111940154066759,0.470100826050886,0.351112226830359,0.001,Ps
33.5,-118.75,6.69357,0.309361,0.0910033,0.0511302,1,Ps,13.3551,0.222238,0.0228853,0.00104516,12.8699218004959,Sp,0.435007613495981,0.108393100872632,0.420924858872737,0.335133524194967,0.001,Ps
33.75,-118.75,7.02555,0.370941,0.117178,0.0479496,1,Ps,13.0623,0.253679,0.0275818,0.0042992,8.21977035477633,Sp,0.498796791338741,0.102653193970588,0.372973221680317,0.246399376613439,0.001,Ps
34,-118.75,7.11064,0.436589,0.0773472,0.0360596,1,Ps,12.5228,0.157432,0.034787,0.00388026,23.7895815222704,Sp,0.633934614089231,0.0907086888864892,0.174401398461999,0.108785029760852,0.001,Ps
34.25,-118.75,7.5371,0.506025,0.0733238,0.0335934,1,Ps,12.3746,0.0940471,0.0336514,0.00380881,26.4696345464256,Sp,0.608616999569287,0.0892729656989689,0.136528677451603,0.0975215135000932,0.001,Ps
34.5,-118.75,7.98496,0.512146,0.0646896,0.0353488,1,Ps,12.199,0.219699,0.0316096,0.00232343,32.5097447975881,Sp,0.630048114788494,0.0889456112525731,0.124758875587166,0.0903513096125361,0.001,Ps
34.75,-118.75,8.20881,0.578948,0.0584847,0.0319657,1,Ps,12.0584,0.160834,0.0325126,0.00198814,30.5498970016022,Sp,0.47656870648689,0.0893939850590976,0.118003917476706,0.0909983151900974,0.001,Ps
35,-118.75,8.92946,0.511044,0.0390733,0.0289342,1,Ps,11.8314,0.0645003,0.0341014,0.00202659,26.0097623397881,Sp,0.553972880343043,0.0890990305923641,0.097884326762034,0.0748885566796285,0.001,Ps
35.25,-118.75,9.21441,0.638773,0.0363221,0.0268711,1,Ps,11.773,0.128095,0.0365291,0.00281972,40,Sp,0.637045004833575,0.0889363167855357,0.099099230145425,0.0769676769696716,0.001,Ps
35.5,-118.75,9.81678,0.634958,0.0778763,0.0314346,1,Ps,11.66,0.158267,0.0356045,0.00268442,34.0802624551766,Sp,0.459747351101185,0.0976558201267777,0.271333413971879,0.11184511338594,0.001,Ps
35.75,-118.75,10.093,0.634118,0.0836023,0.0333761,1,Ps,11.5748,0.215734,0.0353067,0.00459477,42.9598687724117,Sp,0.641817788116487,0.102847422664392,0.415123842303458,0.141924096909511,0.001,Ps
36,-118.75,10.2169,0.69481,0.0783522,0.0347902,1,Ps,11.6713,0.183043,0.0359221,0.00531492,37.5097447975881,Sp,0.827880996564374,0.107105753126389,0.524044743615126,0.171053550657427,0.001,Ps
36.25,-118.75,10.5107,0.56945,0.0893454,0.0349976,1,Ps,11.5589,0.244499,0.0360149,0.00760067,21.1203936827649,Sp,0.658082892889069,0.11317276528254,0.627956608644957,0.189524503910579,0.001,Ps
36.5,-118.75,10.0178,0.635105,0.0661187,0.0297364,1,Ps,11.7729,0.244769,0.0343314,0.00327276,22.5097447975881,Sp,0.428825282297327,0.109695265760395,0.540737854620724,0.193724138759064,0.001,Ps
36.75,-118.75,9.77076,0.89186,0.0521141,0.0283654,1,Ps,11.829,0.0926142,0.0371393,0.0035386,22.7798123140307,Sp,0.262686941328456,0.107209902538173,0.452429011133539,0.286236682028342,0.001,Ps
37,-118.75,10.2342,0.822492,0.091151,0.0325881,1,Ps,11.5459,0.217342,0.0447827,0.00451143,10.8308297026946,Sp,0.226426759859406,0.102928443864108,0.3697743352301,0.308912580659527,0.001,Ps
37.25,-118.75,10.3952,0.891575,0.0864458,0.0346142,1,Ps,11.2312,0.187427,0.0450658,0.0052541,33.5097657740139,Sp,0.254987837083184,0.101071353675151,0.370413199338462,0.321090810711749,0.001,Ps
37.5,-118.75,10.7282,0.578029,0.0917891,0.0351533,1,Ps,10.8902,0.283357,0.0342061,0.00650807,38.6095319323409,Sp,0.264550158242708,0.101538033483534,0.379659063199663,0.359197869196565,0.001,Ps
37.75,-118.75,10.7593,0.575838,0.125167,0.0502983,1,Ps,10.8701,0.191195,0.0266667,0.00407356,29.0597945115992,Sp,0.2963388990878,0.102752592305555,0.429904634932727,0.408909853018091,0.001,Ps
38.5,-118.75,10.3446,0.516089,0.136492,0.0622659,1,Ps,11.2557,0.0954452,0.0241194,0.00233602,12.1299687190051,Sp,0.276042431074262,0.102306719713678,0.382366171839856,0.408605513746413,0.001,Ps
38.75,-118.75,10.4002,0.511115,0.10773,0.054579,1,Ps,11.4758,0.285954,0.0274829,0.0031723,21.4902342259861,Sp,0.300940487949563,0.107199675598974,0.380928392505569,0.376340553085511,0.001,Ps
39,-118.75,10.4156,0.571314,0.0908396,0.0506324,1,Ps,12.1171,0.539934,0.0274131,0.00141637,14.7299256151059,Sp,0.311644037283471,0.107938959405164,0.35751935084068,0.350383919471492,0.001,Ps
39.25,-118.75,10.4977,0.635627,0.0865818,0.0502013,1,Ps,12.2778,0.572321,0.0264763,0.00213277,16.8503471427481,Sp,0.733356507297865,0.113012378682493,0.544726425120525,0.305336307793566,0.001,Ps
39.5,-118.75,10.9131,0.571853,0.0703908,0.0483068,1,Ps,11.4858,0.670225,0.029795,0.00542519,23.250549705318,Sp,1.23600258620728,0.118425671077045,0.776238957927833,0.465920683633331,0.001,Ps
39.75,-118.75,10.3168,0.629979,0.0826657,0.0519345,1,Ps,11.1797,0.512921,0.0365085,0.00503046,22.4099717708095,Sp,1.02230057828031,0.112588517544393,0.654925475232339,0.411808734747861,0.001,Ps
40,-118.75,9.29964,0.376471,0.112626,0.0704374,1,Ps,11.4552,0.448837,0.0289649,0.00469939,26.1898119297175,Sp,0.689699112310455,0.103456331293163,0.494620643813503,0.288067126923696,0.001,Ps
40.25,-118.75,9.13795,0.442802,0.119048,0.0737323,1,Ps,11.3186,0.416402,0.0352513,0.00812784,47.0401312275883,Sp,0.60364560687702,0.101839581908055,0.455237726026638,0.238443687102793,0.001,Ps
40.5,-118.75,9.27889,0.440798,0.13735,0.080038,1,Ps,10.4425,0.607675,0.0411342,0.00393651,32.2201808175177,Sp,0.404457680479747,0.104038281359999,0.433399192272959,0.289676256584627,0.001,Ps
40.75,-118.75,9.03659,0.447975,0.177316,0.0685468,1,Ps,9.38687,0.3506,0.0388332,0.00257789,40.9197375448234,Sp,0.360856410427042,0.104742335524678,0.433739272950764,0.330970703129835,0.001,Ps
41,-118.75,9.06504,0.502471,0.159419,0.0722306,1,Ps,9.77493,0.859743,0.0375529,0.00210792,41.6800320477295,Sp,0.314414300436973,0.105330020738001,0.408288021912739,0.335502316507255,0.001,Ps
41.25,-118.75,9.56684,0.62373,0.14059,0.074251,1,Ps,10.9556,0.477163,0.0398499,0.00328154,24.8004882887007,Sp,0.208818543411199,0.109661120095912,0.355854794570201,0.336764088036702,0.001,Ps
41.5,-118.75,9.83739,0.622119,0.133433,0.0707806,1,Ps,10.2781,0.255036,0.0456913,0.00418071,39.9099752050353,Sp,0.178327664498762,0.112704938495767,0.337660039743392,0.318277666145276,0.001,Ps
41.75,-118.75,10.1609,0.692544,0.145772,0.0654127,1,Ps,10.3912,0.256505,0.0458778,0.00390624,32.0401312275883,Sp,0.177061085045423,0.112300482702085,0.345994446800071,0.281659700840171,0.001,Ps
42,-118.75,10.4254,0.623862,0.140474,0.0527002,1,Ps,10.8048,0.257103,0.0377643,0.00493222,49.7299256151058,Sp,0.186172970799256,0.111201171892254,0.377180817130336,0.254943846658545,0.001,Ps
42.25,-118.75,10.2307,0.565193,0.114416,0.049557,1,Ps,10.8024,0.160889,0.0385742,0.00413792,37.2299153124285,Sp,0.239643129741063,0.10692031555423,0.404080306371127,0.251517290399416,0.001,Ps
