lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB
39.75,-118.75,10.3168,0.629979,0.0826657,0.0519345,1,Ps,11.1797,0.512921,0.0365085,0.00503046,22.4099717708095,Sp
40,-118.75,9.29964,0.376471,0.112626,0.0704374,1,Ps,11.4552,0.448837,0.0289649,0.00469939,26.1898119297175,Sp
40.25,-118.75,9.13795,0.442802,0.119048,0.0737323,1,Ps,11.3186,0.416402,0.0352513,0.00812784,47.0401312275883,Sp
40.5,-118.75,9.27889,0.440798,0.13735,0.080038,1,Ps,10.4425,0.607675,0.0411342,0.00393651,32.2201808175177,Sp
40.75,-118.75,9.03659,0.447975,0.177316,0.0685468,1,Ps,9.38687,0.3506,0.0388332,0.00257789,40.9197375448234,Sp
41,-118.75,9.06504,0.502471,0.159419,0.0722306,1,Ps,9.77493,0.859743,0.0375529,0.00210792,41.6800320477295,Sp
41.25,-118.75,9.56684,0.62373,0.14059,0.074251,1,Ps,10.9556,0.477163,0.0398499,0.00328154,24.8004882887007,Sp
41.5,-118.75,9.83739,0.622119,0.133433,0.0707806,1,Ps,10.2781,0.255036,0.0456913,0.00418071,39.9099752050353,Sp
41.75,-118.75,10.1609,0.692544,0.145772,0.0654127,1,Ps,10.3912,0.256505,0.0458778,0.00390624,32.0401312275883,Sp
42,-118.75,10.4254,0.623862,0.140474,0.0527002,1,Ps,10.8048,0.257103,0.0377643,0.00493222,49.7299256151058,Sp
42.25,-118.75,10.2307,0.565193,0.114416,0.049557,1,Ps,10.8024,0.160889,0.0385742,0.00413792,37.2299153124285,Sp
42.5,-118.75,9.81506,0.569249,0.132044,0.0684326,1,Ps,10.5525,0.192719,0.0455213,0.00265896,39.9099752050353,Sp
42.75,-118.75,9.45969,0.387031,0.134037,0.0514362,1,Ps,10.2976,0.15965,0.0442828,0.00178734,32.7700846875715,Sp
43,-118.75,9.68837,0.312832,0.151056,0.0807441,1,Ps,9.96831,0.22297,0.0437242,0.0018591,40,Sp
43.25,-118.75,9.80346,0.30953,0.174465,0.0871451,1,Ps,9.52102,0.12715,0.047704,0.00151214,32.7798123140307,Sp
43.5,-118.75,9.91731,0.444339,0.169439,0.0837871,1,Ps,9.49448,0.0950775,0.0462222,0.00276797,39.7299256151059,Sp
43.75,-118.75,9.918,0.495181,0.125004,0.0720522,1,Ps,9.62774,0.125812,0.0399521,0.00376579,24.0693904020752,Sp
44,-118.75,9.87126,0.493677,0.107193,0.0629959,1,Ps,9.97455,0.690149,0.0322605,0.00540279,34.4403616350355,Sp
44.25,-118.75,9.84858,0.624449,0.115973,0.0594246,1,Ps,11.3913,0.719821,0.0236965,0.003335,47.9598687724117,Sp
44.5,-118.75,9.67819,0.563702,0.133322,0.0441617,1,Ps,10.9923,0.563689,0.0226822,0.00381028,27.2201808175177,Sp
44.75,-118.75,9.8732,0.620321,0.105625,0.0454514,1,Ps,10.8131,0.124888,0.0332537,0.0047013,31.4696345464256,Sp
45,-118.75,10.2968,0.608965,0.0746395,0.0461544,1,Ps,10.8555,0.12429,0.0361308,0.00297965,35.9197375448234,Sp
33,-118.5,6.63526,0.28073,0.103042,0.0613814,1,Ps,13.0928,0.158281,0.0281429,0.0027201,15.2700743848941,Sp
33.25,-118.5,6.69219,0.298107,0.0901093,0.0524625,1,Ps,13.0376,0.190545,0.0240571,0.00160061,10.4600595101854,Sp
33.5,-118.5,7.00482,0.372054,0.0901222,0.0536182,1,Ps,13.0088,0.223101,0.0231322,0.00170859,10.5579306021193,Sp
33.75,-118.5,7.64575,0.305074,0.170053,0.0713865,1,Ps,12.519,0.127553,0.037075,0.00262504,13.0579306021193,Sp
34,-118.5,7.99285,0.377294,0.115544,0.0594303,1,Ps,12.3395,0.0946975,0.0403162,0.00250049,27.7797917086759,Sp
34.25,-118.5,8.11883,0.444251,0.098442,0.0588313,1,Ps,12.1853,0.125455,0.0380757,0.00341859,23.6198214694438,Sp
34.5,-118.5,8.37849,0.511028,0.0864505,0.047176,1,Ps,12.0298,0.188371,0.0333929,0.00146793,14.4399801594881,Sp
34.75,-118.5,8.49892,0.511336,0.081715,0.0443129,1,Ps,11.9114,0.128884,0.0331379,0.000880794,27.7700846875715,Sp
35,-118.5,8.81808,0.51068,0.0702289,0.0410733,1,Ps,11.7509,0.0971131,0.0317326,0.00173605,34.5399404898146,Sp
35.25,-118.5,9.10266,0.637619,0.0766371,0.0405326,1,Ps,11.6301,0.0644288,0.030948,0.00209238,40.180056458381,Sp
35.5,-118.5,9.68751,0.573832,0.117327,0.0404327,1,Ps,11.4872,0.127748,0.0295891,0.00284181,35.6401091001148,Sp
